,"Gross domestic product 2020, PPP",,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,international dollars),
,,,,,
,,,,,
MDA,128,,Moldova," 34,036 ",g
GAB,129,,Gabon," 33,810 ",
HTI,130,,Haiti," 33,357 ",
KGZ,131,,Kyrgyz Republic," 32,728 ",
NER,132,,Niger," 30,563 ",
MWI,133,,Malawi," 30,004 ",
BRN,134,,Brunei Darussalam," 28,726 ",
RWA,135,,Rwanda," 28,676 ",
PSE,136,,West Bank and Gaza," 27,332 ",
JAM,137,,Jamaica," 27,307 ",
TCD,138,,Chad," 26,337 ",
MUS,139,,Mauritius," 25,997 ",
GNQ,140,,Equatorial Guinea," 25,172 ",
MRT,141,,Mauritania," 24,443 ",
NAM,142,,Namibia," 23,839 ",
MLT,143,,Malta," 22,398 ",
ISL,144,,Iceland," 20,233 ",
XKX,145,,Kosovo," 20,182 ",a
COG,146,,"Congo, Rep."," 20,078 ",
TGO,147,,Togo," 18,409 ",
GUY,148,,Guyana," 15,500 ",
SOM,149,,Somalia," 13,909 ",
SLE,150,,Sierra Leone," 13,868 ",
MNE,151,,Montenegro," 12,787 ",
BHS,152,,"Bahamas, The"," 12,762 ",
FJI,153,,Fiji," 10,400 ",
SWZ,154,,Eswatini," 10,272 ",
SUR,155,,Suriname," 9,982 ",
BDI,156,,Burundi," 9,170 ",
BTN,157,,Bhutan," 8,880 ",
MDV,158,,Maldives," 7,441 ",
LBR,159,,Liberia," 7,223 ",
DJI,160,,Djibouti," 5,713 ",
GMB,161,,"Gambia, The"," 5,505 ",
BMU,162,,Bermuda," 5,449 ",
LSO,163,,Lesotho," 5,152 ",
CYM,164,,Cayman Islands," 4,985 ",
CAF,165,,Central African Republic," 4,731 ",
TLS,166,,Timor-Leste," 4,424 ",a
CUW,167,,Curaçao," 4,020 ",
BRB,168,,Barbados," 3,902 ",
GNB,169,,Guinea-Bissau," 3,835 ",
CPV,170,,Cabo Verde," 3,546 ",
COM,171,,Comoros," 2,881 ",
BLZ,172,,Belize," 2,567 ",
SYC,173,,Seychelles," 2,530 ",
LCA,174,,St. Lucia," 2,377 ",
SMR,175,,San Marino," 2,148 ",a
ATG,176,,Antigua and Barbuda," 1,855 ",
SLB,177,,Solomon Islands," 1,799 ",a
GRD,178,,Grenada," 1,788 ",
SXM,179,,Sint Maarten (Dutch part)," 1,471 ",
VCT,180,,St. Vincent and the Grenadines," 1,417 ",
WSM,181,,Samoa," 1,336 ",a
KNA,182,,St. Kitts and Nevis," 1,305 ",
STP,183,,São Tomé and Principe, 937 ,
VUT,184,,Vanuatu, 895 ,a
TCA,185,,Turks and Caicos Islands, 863 ,
DMA,186,,Dominica, 751 ,
TON,187,,Tonga, 695 ,a
FSM,188,,"Micronesia, Fed. Sts.", 411 ,a
PLW,189,,Palau, 330 ,a
KIR,190,,Kiribati, 289 ,a
MHL,191,,Marshall Islands, 247 ,a
NRU,192,,Nauru, 152 ,a
TUV,193,,Tuvalu, 55 ,a
ASM,,,American Samoa, -   ,
AND,,,Andorra, -   ,
ABW,,,Aruba, -   ,
VGB,,,British Virgin Islands, -   ,
