"","imdb_id","original_title","adult","genres.name","original_language","popularity","production_countries.name","release_date","budget","revenue","vote_average","vote_count"
"1:115","tt0390365","Persons of Interest","FALSE",NA,"en","0.6",NA,"2004-01-22","0","0","0","0"
"1:117","tt0461539","蔓延","FALSE",NA,"zh","0.77","China","2004-10-21","0","0","6.2","5"
"1:121","tt0479550","Ten Skies","FALSE","Documentary","en","1.453","United States of America","2004-01-01","0","0","7","10"
"1:122","tt0239124","Little White Chicks...Big Black Monster Dicks! 2","TRUE",NA,"en","0.637","United States of America","1999-11-10","0","0","8.7","3"
"1:126","tt0061994","La morte ha fatto l'uovo","FALSE","Thriller","it","2.424","France","1968-01-09","0","0","5.9","27"
"1:133","tt1854236","Den skaldede frisør","FALSE","Comedy","da","9.984","Denmark","2012-09-04","5500000","16722143","6","216"
"1:134","tt2043796","Born Villain","FALSE",NA,"en","0.632","United States of America","2011-08-28","0","0","7.3","7"
"1:136","tt1379636","Canary","FALSE","Thriller","en","0.626",NA,"2009-03-01","0","0","4","1"
"1:137","tt1233190","Around the Bay","FALSE",NA,"en","0.805",NA,"2008-03-01","0","0","0","0"
"1:139","tt3817128","Bonjour ivresse !","FALSE","Comedy","fr","0.6","France","2010-01-01","0","0","8","3"
"1:140","tt0265291","Little White Chicks...Big Black Monster Dicks! 8: Monsters Invade Europe!!! Again!","TRUE",NA,"en","2.445","United States of America","2000-10-26","0","0","7","2"
"1:141","tt1823685","Fat City, New Orleans","FALSE","Comedy","en","0.6",NA,"2012-01-01","0","0","0","0"
"1:142","tt0018464","Tarzan and the Golden Lion","FALSE",NA,"en","0.895","United States of America","1927-03-20","0","0","4.8","6"
"1:144","tt0107393","Magkasangga sa batas","FALSE","Action","zh","0.633","Hong Kong","1993-10-01","0","0","4","3"
"1:145","tt0026688","Mary Burns, Fugitive","FALSE","Drama","en","1.042","United States of America","1935-11-15","0","0","0","0"
"1:146","tt0033958","No Hands on the Clock","FALSE","Crime","en","1.122","United States of America","1941-12-01","0","0","5.1","5"
"1:148","tt0041700","Not Wanted","FALSE","Drama","en","1.989","United States of America","1949-06-24","0","0","6.7","14"
"1:150","tt2379653","Tres","FALSE","Comedy","es","2.003","Argentina","2012-04-20","0","0","5.7","6"
"1:151","tt0041217","Bye, Bye Bluebeard","FALSE","Animation","en","1.424",NA,"1949-10-22","0","0","6.6","7"
"1:156","tt0091638","No Picnic","FALSE","Drama","en","0.979","United States of America","1986-01-17","0","0","8","4"
