,Population 2020,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
LVA,149,,Latvia," 1,902 ",
XKX,150,,Kosovo," 1,775 ",
BHR,151,,Bahrain," 1,702 ",
GNQ,152,,Equatorial Guinea," 1,403 ",
TTO,153,,Trinidad and Tobago," 1,399 ",
EST,154,,Estonia," 1,331 ",
TLS,155,,Timor-Leste," 1,318 ",
MUS,156,,Mauritius," 1,266 ",
CYP,157,,Cyprus," 1,207 ",
SWZ,158,,Eswatini," 1,160 ",
DJI,159,,Djibouti, 988 ,
FJI,160,,Fiji, 896 ,
COM,161,,Comoros, 870 ,
GUY,162,,Guyana, 787 ,
BTN,163,,Bhutan, 772 ,
SLB,164,,Solomon Islands, 687 ,
MAC,165,,"Macao SAR, China", 649 ,
LUX,166,,Luxembourg, 632 ,
MNE,167,,Montenegro, 622 ,
SUR,168,,Suriname, 587 ,
CPV,169,,Cabo Verde, 556 ,
MDV,170,,Maldives, 541 ,
MLT,171,,Malta, 525 ,
BRN,172,,Brunei Darussalam, 437 ,
BLZ,173,,Belize, 398 ,
BHS,174,,"Bahamas, The", 393 ,
ISL,175,,Iceland, 366 ,
VUT,176,,Vanuatu, 307 ,
BRB,177,,Barbados, 287 ,
PYF,178,,French Polynesia, 281 ,
NCL,179,,New Caledonia, 272 ,
STP,180,,São Tomé and Principe, 219 ,
WSM,181,,Samoa, 198 ,
LCA,182,,St. Lucia, 184 ,
CHI,183,,Channel Islands, 174 ,
GUM,184,,Guam, 169 ,
CUW,185,,Curaçao, 155 ,
KIR,186,,Kiribati, 119 ,
FSM,187,,"Micronesia, Fed. Sts.", 115 ,
GRD,188,,Grenada, 113 ,
VCT,189,,St. Vincent and the Grenadines, 111 ,
ABW,190,,Aruba, 107 ,
VIR,191,,Virgin Islands (U.S.), 106 ,
TON,192,,Tonga, 106 ,
SYC,193,,Seychelles, 98 ,
ATG,194,,Antigua and Barbuda, 98 ,
IMN,195,,Isle of Man, 85 ,
AND,196,,Andorra, 77 ,
DMA,197,,Dominica, 72 ,
CYM,198,,Cayman Islands, 66 ,
BMU,199,,Bermuda, 64 ,
MHL,200,,Marshall Islands, 59 ,
MNP,201,,Northern Mariana Islands, 58 ,
GRL,202,,Greenland, 56 ,
ASM,203,,American Samoa, 55 ,
KNA,204,,St. Kitts and Nevis, 53 ,
FRO,205,,Faroe Islands, 49 ,
SXM,206,,Sint Maarten (Dutch part), 41 ,
MCO,207,,Monaco, 39 ,
TCA,208,,Turks and Caicos Islands, 39 ,
MAF,209,,St. Martin (French part), 39 ,
LIE,210,,Liechtenstein, 38 ,
SMR,211,,San Marino, 34 ,
GIB,212,,Gibraltar, 34 ,
VGB,213,,British Virgin Islands, 30 ,
PLW,214,,Palau, 18 ,
TUV,215,,Tuvalu, 12 ,
NRU,216,,Nauru, 11 ,
ERI,,,Eritrea, -   ,
,,,,,
,,,,,
WLD,,,World," 7,752,841 ",
,,,,,
EAS,,,East Asia & Pacific," 2,352,038 ",
ECS,,,Europe & Central Asia," 923,490 ",
LCN,,,Latin America & Caribbean," 652,276 ",
MEA,,,Middle East & North Africa," 464,554 ",
NAC,,,North America," 367,553 ",
SAS,,,South Asia," 1,856,882 ",
SSF,,,Sub-Saharan Africa," 1,136,047 ",
LIC,,,Low income," 665,149 ",
LMC,,,Lower middle income," 3,330,653 ",
UMC,,,Upper middle income," 2,542,109 ",
HIC,,,High income," 1,214,930 ",
,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
