,imdb_id,original_title,adult,genres.name,original_language,popularity,production_countries.name,release_date,budget,revenue,vote_average,vote_count
0.084722222,,Lesbian PsychoDramas 19,TRUE,NA,en,0.6,United States of America,23/10/2015,0,0,0,0
0.085416667,tt4794514,Twilight Storytellers: Masque,FALSE,Drama,en,0.6,United States of America,13/07/2015,20000,0,0,0
0.086111111,tt0479503,The Office Girls,TRUE,NA,en,0.6,NA,1/10/2005,0,0,0,0
0.086805556,tt4733232,Consumed,FALSE,Drama,en,0.6,United States of America,9/07/2015,50000,0,0,0
0.0875,tt4695982,Twilight Storytellers: Turncoats,FALSE,Drama,en,0.6,United States of America,13/07/2015,50000,0,0,0
0.088194444,tt4689372,Twilight Storytellers: The Groundskeeper,FALSE,Drama,en,0.6,United States of America,13/07/2015,0,0,0,0
0.089583333,,Maharani Kottai,FALSE,NA,ta,0.6,India,7/10/2015,0,0,0.5,1
0.090277778,tt5317546,"Murder, She Baked: A Peach Cobbler Mystery",FALSE,Mystery,en,5.282,NA,10/01/2016,0,0,7.3,42
0.090972222,tt5135532,Garage Sale Mystery: Guilty Until Proven Innocent,FALSE,Drama,en,4.469,Canada,3/01/2016,0,0,6.4,34
0.091666667,tt0382049,Girl Camp 2004: Lesbian Fleshpots,FALSE,NA,en,2.582,NA,20/10/2003,0,0,3.5,4
0.093055556,,A Field Guide to the Ferns,FALSE,NA,en,0.6,United States of America,1/02/2015,0,0,0,0
0.094444444,,Tomorowland: 2015,FALSE,NA,en,0.672,NA,,0,0,10,1
0.095138889,,Tomorrowland 2014 Official Aftermovie,FALSE,Music,en,0.6,NA,25/07/2014,0,0,8,2
0.095833333,,Mr. Hu en de tempel,FALSE,Documentary,nl,0.6,NA,20/11/2015,0,0,0,0
0.097222222,tt0218117,Las colegialas,FALSE,NA,es,0.6,NA,13/06/1946,0,0,6.5,3
0.097916667,tt0233832,La guarida del buitre,FALSE,NA,en,0.909,Mexico,19/02/1958,0,0,5,2
0.098611111,tt0106231,<U+611B><U+7684><U+7CBE><U+9748>,FALSE,Romance,cn,2.231,Hong Kong,17/04/1993,0,0,0,0
0.1,,50mm HelloGreedo,FALSE,NA,en,0.6,NA,1/12/2015,0,0,10,1
0.100694444,tt2796430,<U+4E0A><U+4EAC><U+3082><U+306E><U+304C><U+305F><U+308A>,FALSE,Comedy,ja,0.6,Japan,24/08/2013,0,0,0,0
0.102083333,tt0053784,Droga na zachód,FALSE,War,pl,0.6,Poland,7/09/1961,0,0,0,0
0.103472222,tt0158550,Queen: Champions of the World,FALSE,NA,pt,2.236,NA,1/01/1995,0,0,9,2
0.104166667,tt1024725,"Dzien dobry, dzieci",FALSE,NA,pl,0.6,NA,1/04/1967,0,0,0,0
0.104861111,tt3838804,"Archipels, granites dénudés",FALSE,Documentary,fr,1.096,Greece,22/01/2015,0,0,0,0
0.105555556,tt0862685,Dzien za dniem,FALSE,NA,pl,0.6,NA,1/04/1989,0,0,0,0
0.10625,tt0833521,Robotnice,FALSE,NA,pl,0.6,NA,1/04/1981,0,0,0,0
0.106944444,tt0280841,Kleiner Mann sucht großes Herz,FALSE,Drama,de,0.6,Germany,3/04/2001,0,0,0,0
